0x2A0A,"GATT Characteristic and Object Type","Day Date Time",
0x2A0C,"GATT Characteristic and Object Type","Exact Time 256",
0x2A0D,"GATT Characteristic and Object Type","DST Offset",
0x2A0E,"GATT Characteristic and Object Type","Time Zone",
0x2A0F,"GATT Characteristic and Object Type","Local Time Information",
0x2A11,"GATT Characteristic and Object Type","Time with DST",
0x2A12,"GATT Characteristic and Object Type","Time Accuracy",
0x2A13,"GATT Characteristic and Object Type","Time Source",
0x2A14,"GATT Characteristic and Object Type","Reference Time Information",
0x2A16,"GATT Characteristic and Object Type","Time Update Control Point",
0x2A17,"GATT Characteristic and Object Type","Time Update State",
0x2A18,"GATT Characteristic and Object Type","Glucose Measurement",
0x2A19,"GATT Characteristic and Object Type","Battery Level",
0x2A1C,"GATT Characteristic and Object Type","Temperature Measurement",
0x2A1D,"GATT Characteristic and Object Type","Temperature Type",
0x2A1E,"GATT Characteristic and Object Type","Intermediate Temperature",
0x2A21,"GATT Characteristic and Object Type","Measurement Interval",
0x2A22,"GATT Characteristic and Object Type","Boot Keyboard Input Report",
0x2A23,"GATT Characteristic and Object Type","System ID",
0x2A24,"GATT Characteristic and Object Type","Model Number String",
0x2A25,"GATT Characteristic and Object Type","Serial Number String",
0x2A26,"GATT Characteristic and Object Type","Firmware Revision String",
0x2A27,"GATT Characteristic and Object Type","Hardware Revision String",
0x2A28,"GATT Characteristic and Object Type","Software Revision String",
0x2A29,"GATT Characteristic and Object Type","Manufacturer Name String",
0x2A2A,"GATT Characteristic and Object Type","IEEE 11073-20601 Regulatory Certification Data List",
0x2A2B,"GATT Characteristic and Object Type","Current Time",
0x2A31,"GATT Characteristic and Object Type","Scan Refresh",
0x2A32,"GATT Characteristic and Object Type","Boot Keyboard Output Report",
0x2A33,"GATT Characteristic and Object Type","Boot Mouse Input Report",
0x2A34,"GATT Characteristic and Object Type","Glucose Measurement Context",
0x2A35,"GATT Characteristic and Object Type","Blood Pressure Measurement",
0x2A36,"GATT Characteristic and Object Type","Intermediate Cuff Pressure",
0x2A37,"GATT Characteristic and Object Type","Heart Rate Measurement",
0x2A38,"GATT Characteristic and Object Type","Body Sensor Location",
0x2A39,"GATT Characteristic and Object Type","Heart Rate Control Point",
0x2A3F,"GATT Characteristic and Object Type","Alert Status",
0x2A40,"GATT Characteristic and Object Type","Ringer Control Point",
0x2A41,"GATT Characteristic and Object Type","Ringer Setting",
0x2A42,"GATT Characteristic and Object Type","Alert Category ID Bit Mask",
0x2A43,"GATT Characteristic and Object Type","Alert Category ID",
0x2A44,"GATT Characteristic and Object Type","Alert Notification Control Point",
0x2A45,"GATT Characteristic and Object Type","Unread Alert Status",
0x2A46,"GATT Characteristic and Object Type","New Alert",
0x2A47,"GATT Characteristic and Object Type","Supported New Alert Category",
0x2A48,"GATT Characteristic and Object Type","Supported Unread Alert Category",
0x2A49,"GATT Characteristic and Object Type","Blood Pressure Feature",
0x2A4A,"GATT Characteristic and Object Type","HID Information",
0x2A4B,"GATT Characteristic and Object Type","Report Map",
0x2A4C,"GATT Characteristic and Object Type","HID Control Point",
0x2A4D,"GATT Characteristic and Object Type","Report",
0x2A4E,"GATT Characteristic and Object Type","Protocol Mode",
0x2A4F,"GATT Characteristic and Object Type","Scan Interval Window",
0x2A50,"GATT Characteristic and Object Type","PnP ID",
0x2A51,"GATT Characteristic and Object Type","Glucose Feature",
0x2A52,"GATT Characteristic and Object Type","Record Access Control Point",
0x2A53,"GATT Characteristic and Object Type","RSC Measurement",
0x2A54,"GATT Characteristic and Object Type","RSC Feature",
0x2A55,"GATT Characteristic and Object Type","SC Control Point",
0x2A5A,"GATT Characteristic and Object Type","Aggregate",
0x2A5B,"GATT Characteristic and Object Type","CSC Measurement",
0x2A5C,"GATT Characteristic and Object Type","CSC Feature",
0x2A5D,"GATT Characteristic and Object Type","Sensor Location",
0x2A5E,"GATT Characteristic and Object Type","PLX Spot-Check Measurement",
0x2A5F,"GATT Characteristic and Object Type","PLX Continuous Measurement",
